"nam","gender","year","tot","name_rank"
"Linda","F",1880,27,"305"
"Linda","F",1881,38,"262"
"Linda","F",1882,36,"294"
"Linda","F",1883,49,"257"
"Linda","F",1884,33,"341"
"Linda","F",1885,60,"255"
"Linda","F",1886,49,"294"
"Linda","F",1887,50,"302"
"Linda","F",1888,77,"262"
"Linda","F",1889,74,"277"
"Linda","F",1890,54,"348"
"Linda","F",1891,78,"282"
"Linda","F",1892,83,"296"
"Linda","F",1893,82,"300"
"Linda","F",1894,94,"285"
"Linda","F",1895,96,"288"
"Linda","F",1896,104,"287"
"Linda","F",1897,81,"326"
"Linda","F",1898,102,"311"
"Linda","F",1899,98,"298"
"Linda","F",1900,125,"293"
"Linda","F",1901,86,"326"
"Linda","F",1902,91,"324"
"Linda","F",1903,90,"326"
"Linda","F",1904,101,"323"
"Linda","F",1905,105,"329"
"Linda","F",1906,98,"337"
"Linda","F",1907,102,"350"
"Linda","F",1908,93,"372"
"Linda","F",1909,105,"352"
"Linda","F",1910,137,"335"
"Linda","F",1911,130,"350"
"Linda","F",1912,189,"329"
"Linda","F",1913,238,"306"
"Linda","F",1914,219,"358"
"Linda","F",1915,290,"349"
"Linda","F",1916,297,"356"
"Linda","F",1917,291,"370"
"Linda","F",1918,322,"359"
"Linda","F",1919,282,"385"
"Linda","F",1920,348,"352"
"Linda","F",1921,367,"341"
"Linda","F",1922,365,"339"
"Linda","F",1923,423,"312"
"Linda","F",1924,454,"314"
"Linda","F",1925,438,"320"
"Linda","F",1926,479,"305"
"Linda","F",1927,516,"295"
"Linda","F",1928,555,"277"
"Linda","F",1929,509,"289"
"Linda","F",1930,492,"299"
"Linda","F",1931,535,"269"
"Linda","F",1932,774,"219"
"Linda","F",1933,782,"216"
"Linda","F",1934,1000,"182"
"Linda","F",1935,1197,"165"
"Linda","F",1936,2440,"97"
"Linda","F",1937,4378,"49"
"Linda","F",1938,7047,"31"
"Linda","F",1939,10713,"15"
"Linda","F",1940,18368,"8"
"Linda","F",1941,23722,"5"
"Linda","F",1942,31611,"4"
"Linda","F",1943,38442,"4"
"Linda","F",1944,38413,"3"
"Linda","F",1945,41462,"2"
"Linda","F",1946,52710,"2"
"Linda","F",1947,99693,"1"
"Linda","F",1948,96215,"1"
"Linda","F",1949,91017,"1"
"Linda","F",1950,80431,"1"
"Linda","F",1951,73981,"1"
"Linda","F",1952,67080,"1"
"Linda","F",1953,61281,"2"
"Linda","F",1954,55373,"2"
"Linda","F",1955,51300,"3"
"Linda","F",1956,48080,"3"
"Linda","F",1957,44512,"3"
"Linda","F",1958,41901,"3"
"Linda","F",1959,40409,"3"
"Linda","F",1960,37317,"3"
"Linda","F",1961,35580,"4"
"Linda","F",1962,31467,"5"
"Linda","F",1963,27723,"5"
"Linda","F",1964,23630,"8"
"Linda","F",1965,19340,"8"
"Linda","F",1966,15564,"18"
"Linda","F",1967,13196,"26"
"Linda","F",1968,11370,"28"
"Linda","F",1969,10245,"33"
"Linda","F",1970,8729,"38"
"Linda","F",1971,7375,"42"
"Linda","F",1972,5744,"51"
"Linda","F",1973,4731,"61"
"Linda","F",1974,4078,"75"
"Linda","F",1975,3524,"81"
"Linda","F",1976,3139,"90"
"Linda","F",1977,2910,"99"
"Linda","F",1978,2932,"100"
"Linda","F",1979,2740,"114"
"Linda","F",1980,2804,"110"
"Linda","F",1981,2729,"111"
"Linda","F",1982,2791,"107"
"Linda","F",1983,2476,"119"
"Linda","F",1984,2334,"119"
"Linda","F",1985,2114,"137"
"Linda","F",1986,1950,"148"
"Linda","F",1987,1930,"142"
"Linda","F",1988,1845,"155"
"Linda","F",1989,1845,"157"
"Linda","F",1990,1660,"175"
"Linda","F",1991,1608,"187"
"Linda","F",1992,1582,"191"
"Linda","F",1993,1488,"198"
"Linda","F",1994,1284,"221"
"Linda","F",1995,1233,"231"
"Linda","F",1996,987,"293"
"Linda","F",1997,1099,"263"
"Linda","F",1998,972,"312"
"Linda","F",1999,900,"336"
"Linda","F",2000,851,"357"
"Linda","F",2001,839,"354"
"Linda","F",2002,771,"383"
"Linda","F",2003,741,"409"
"Linda","F",2004,729,"419"
"Linda","F",2005,753,"415"
"Linda","F",2006,700,"451"
"Linda","F",2007,662,"492"
"Linda","F",2008,614,"507"
"Linda","F",2009,551,"554"
"Linda","F",2010,479,"615"
"Linda","F",2011,489,"590"
"Linda","F",2012,450,"633"
"Linda","F",2013,445,"631"
"Linda","F",2014,473,"613"
"Linda","F",2015,429,"664"
"Linda","F",2016,441,"665"
"Linda","F",2017,409,"704"
"Linda","F",2018,395,"720"
"Linda","F",2019,360,"770"
"Linda","F",2020,333,"816"
"Linda","F",2021,326,"845"
"Linda","F",2022,346,"805"
